,home_team,home_score,away_team,away_score,day_of_week,month,day_of_month,year,time,attendance,stadium,a_href
0,Norwich City,1,Stoke City,0,Saturday,November,3,2012,15:00,26072,Carrow Road (Norwich / England),https://www.worldfootball.net/venues/carrow-road-norwich/
0,Sunderland AFC,0,Aston Villa,1,Saturday,November,3,2012,15:00,41515,Stadium of Light (Sunderland / England),https://www.worldfootball.net/venues/stadium-of-light-sunderland/
0,Swansea City,1,Chelsea FC,1,Saturday,November,3,2012,15:00,20527,Liberty Stadium (Swansea / Wales),https://www.worldfootball.net/venues/swansea-com-stadium-swansea/
0,Tottenham Hotspur,0,Wigan Athletic,1,Saturday,November,3,2012,15:00,35534,White Hart Lane (London / England),https://www.worldfootball.net/venues/white-hart-lane-london/
0,West Ham United,0,Manchester City,0,Saturday,November,3,2012,17:30,35005,Upton Park (London / England),https://www.worldfootball.net/venues/upton-park-london/
0,Queens Park Rangers,1,Reading FC,1,Sunday,November,4,2012,13:30,16797,Loftus Road (London / England),https://www.worldfootball.net/venues/loftus-road-london/
0,Liverpool FC,1,Newcastle United,1,Sunday,November,4,2012,16:00,44803,Anfield (Liverpool / England),https://www.worldfootball.net/venues/anfield-liverpool/
0,West Bromwich Albion,2,Southampton FC,0,Monday,November,5,2012,20:00,25635,The Hawthorns (West Bromwich / England),https://www.worldfootball.net/venues/the-hawthorns-west-bromwich/
0,Arsenal FC,3,Fulham FC,3,Saturday,November,10,2012,15:00,60093,Emirates Stadium (London / England),https://www.worldfootball.net/venues/emirates-stadium-london/
0,Everton FC,2,Sunderland AFC,1,Saturday,November,10,2012,15:00,35999,Goodison Park (Liverpool / England),https://www.worldfootball.net/venues/goodison-park-liverpool/
0,Reading FC,0,Norwich City,0,Saturday,November,10,2012,15:00,24080,Select Car Leasing Stadium (Reading / England),https://www.worldfootball.net/venues/select-car-leasing-stadium-reading/
0,Southampton FC,1,Swansea City,1,Saturday,November,10,2012,15:00,30501,Saint Mary's (Southampton / England),https://www.worldfootball.net/venues/saint-marys-southampton/
0,Stoke City,1,Queens Park Rangers,0,Saturday,November,10,2012,15:00,27529,Britannia Stadium (Stoke-on-Trent / England),https://www.worldfootball.net/venues/bet365-stadium-stoke-on-trent/
0,Wigan Athletic,1,West Bromwich Albion,2,Saturday,November,10,2012,15:00,17812,DW Stadium (Wigan / England),https://www.worldfootball.net/venues/dw-stadium-wigan/
0,Aston Villa,2,Manchester United,3,Saturday,November,10,2012,17:30,40538,Villa Park (Birmingham / England),https://www.worldfootball.net/venues/villa-park-birmingham/
0,Manchester City,2,Tottenham Hotspur,1,Sunday,November,11,2012,13:30,47208,Etihad Stadium (Manchester / England),https://www.worldfootball.net/venues/etihad-stadium-manchester/
0,Newcastle United,0,West Ham United,1,Sunday,November,11,2012,15:00,51855,St James' Park (Newcastle / England),https://www.worldfootball.net/venues/st-james-park-newcastle/
0,Chelsea FC,1,Liverpool FC,1,Sunday,November,11,2012,16:00,41627,Stamford Bridge (London / England),https://www.worldfootball.net/venues/stamford-bridge-london/
